item,itemLabel
http://www.wikidata.org/entity/Q125249,William James
http://www.wikidata.org/entity/Q125551,Parmenides
http://www.wikidata.org/entity/Q126596,William Hazlitt
http://www.wikidata.org/entity/Q127398,Moshe ben Maimon
http://www.wikidata.org/entity/Q128179,István Mészáros
http://www.wikidata.org/entity/Q45838,Kenelm Digby
http://www.wikidata.org/entity/Q46420,Ibn Arabi
http://www.wikidata.org/entity/Q46633,Charles Babbage
http://www.wikidata.org/entity/Q46739,Octavio Paz
http://www.wikidata.org/entity/Q47154,Lucretius
http://www.wikidata.org/entity/Q47208,Louis-Claude de Saint-Martin
http://www.wikidata.org/entity/Q47434,Edmund Halley
http://www.wikidata.org/entity/Q47478,Swami Vivekananda
http://www.wikidata.org/entity/Q47695,Rudolf Christoph Eucken
http://www.wikidata.org/entity/Q47737,Kahlil Gibran
http://www.wikidata.org/entity/Q47739,Zhuangzi
http://www.wikidata.org/entity/Q48226,Ralph Waldo Emerson
http://www.wikidata.org/entity/Q48246,Ernst Haeckel
http://www.wikidata.org/entity/Q48301,Martin Heidegger
http://www.wikidata.org/entity/Q48779,Ukshin Hoti
http://www.wikidata.org/entity/Q49325,Albert Schweitzer
http://www.wikidata.org/entity/Q49747,Maurice Maeterlinck
http://www.wikidata.org/entity/Q50020,John Stuart Mill
http://www.wikidata.org/entity/Q53619,Rambhadracharya
http://www.wikidata.org/entity/Q54828,Ivan Yefremov
http://www.wikidata.org/entity/Q55704,Kedar Joshi
http://www.wikidata.org/entity/Q55963,František Lorenz
http://www.wikidata.org/entity/Q57069,Günter Ralfs
http://www.wikidata.org/entity/Q57112,Oswald Spengler
http://www.wikidata.org/entity/Q57186,Samuel von Pufendorf
http://www.wikidata.org/entity/Q57188,Ernst Cassirer
http://www.wikidata.org/entity/Q57193,Moritz Schlick
http://www.wikidata.org/entity/Q57196,Franz Brentano
http://www.wikidata.org/entity/Q57219,David Strauss
http://www.wikidata.org/entity/Q57238,Niklas Luhmann
http://www.wikidata.org/entity/Q57240,Ernst Bloch
http://www.wikidata.org/entity/Q57248,Ernst Zermelo
http://www.wikidata.org/entity/Q57255,Hans Jonas
http://www.wikidata.org/entity/Q57281,August Wilhelm Schlegel
http://www.wikidata.org/entity/Q57497,Carl Stumpf
http://www.wikidata.org/entity/Q57501,Christian Thomasius
http://www.wikidata.org/entity/Q57633,László Katus
http://www.wikidata.org/entity/Q57684,Hermann Lotze
http://www.wikidata.org/entity/Q57737,Houston Stewart Chamberlain
http://www.wikidata.org/entity/Q57946,Hugo Münsterberg
http://www.wikidata.org/entity/Q58586,Edmund Husserl
http://www.wikidata.org/entity/Q58720,Mikhail Vassilyevich Lomonosov
http://www.wikidata.org/entity/Q58853,Karl-Otto Apel
http://www.wikidata.org/entity/Q59137,Diogenes of Oenoanda
http://www.wikidata.org/entity/Q59138,Diogenes Laërtius
http://www.wikidata.org/entity/Q59180,Diogenes of Sinope
http://www.wikidata.org/entity/Q59188,Lionel Giles
http://www.wikidata.org/entity/Q59874,Richard Carrier
http://www.wikidata.org/entity/Q60025,Hannah Arendt
http://www.wikidata.org/entity/Q60028,Gottlob Frege
http://www.wikidata.org/entity/Q60030,Herbert Marcuse
http://www.wikidata.org/entity/Q60059,Albertus Magnus
http://www.wikidata.org/entity/Q60070,Friedrich Wilhelm Joseph Schelling
http://www.wikidata.org/entity/Q60080,Wilhelm Dilthey
http://www.wikidata.org/entity/Q60091,Josef Ludvik Fischer
http://www.wikidata.org/entity/Q60104,Paul Tillich
http://www.wikidata.org/entity/Q60208,Karl Korsch
http://www.wikidata.org/entity/Q60247,Johann Bernhard Basedow
http://www.wikidata.org/entity/Q60389,Johannes Althusius
http://www.wikidata.org/entity/Q60412,Thomas Luckmann
http://www.wikidata.org/entity/Q60502,Gerhard Gentzen
http://www.wikidata.org/entity/Q60582,Thomas Abbt
http://www.wikidata.org/entity/Q60641,Madhukar
http://www.wikidata.org/entity/Q60684,Novalis
http://www.wikidata.org/entity/Q60690,Hermann Graf Keyserling
http://www.wikidata.org/entity/Q60698,Ludwig Klages
http://www.wikidata.org/entity/Q60735,Axel Honneth
http://www.wikidata.org/entity/Q60837,John Austin
http://www.wikidata.org/entity/Q60884,Günther Anders
http://www.wikidata.org/entity/Q60972,Joseph Dietzgen
http://www.wikidata.org/entity/Q61037,Wilhelm Ackermann
http://www.wikidata.org/entity/Q61044,Albert of Saxony
http://www.wikidata.org/entity/Q61067,Johann Reuchlin
http://www.wikidata.org/entity/Q61078,Walter Benjamin
http://www.wikidata.org/entity/Q61151,Eduard Spranger
http://www.wikidata.org/entity/Q61163,Josef Pieper
http://www.wikidata.org/entity/Q61171,Erich Neumann
http://www.wikidata.org/entity/Q61189,Hans Blumenberg
http://www.wikidata.org/entity/Q61190,Oswald Külpe
http://www.wikidata.org/entity/Q61255,Kuno Fischer
http://www.wikidata.org/entity/Q61262,Hans Robert Jauss
http://www.wikidata.org/entity/Q61271,Reinhart Koselleck
http://www.wikidata.org/entity/Q61280,Friedrich Adolf Trendelenburg
http://www.wikidata.org/entity/Q61369,Gabriel Biel
http://www.wikidata.org/entity/Q61389,Elisabeth of the Palatinate
http://www.wikidata.org/entity/Q61446,Theodor Lessing
http://www.wikidata.org/entity/Q61453,Kurd Lasswitz
http://www.wikidata.org/entity/Q61558,Arnold Ruge
http://www.wikidata.org/entity/Q61628,Eugen Fink
http://www.wikidata.org/entity/Q61652,Otto von Gierke
http://www.wikidata.org/entity/Q61674,Friedrich Albert Lange
http://www.wikidata.org/entity/Q61862,Eduard Zeller
